X,Y,OBJECTID,BSID,LNG,LAT,X_COORD,Y_COORD,STATUS,ROUTES,STOPNAME,DIR,GPS_YEAR,GPS_DATE,DISTANCE_FROM_STREET,BETWEEN_STREET_DISTANCE,Z_ELEVATION,DISTRICT,CITY,PARCEL_ID_NUMBER,POSTAL,PID,COUNTY,LOCATION,TEAMBOUNDARY,PICTURE,SE_ANNO_CAD_DATA,CORNER,RUNBOARD,COMMENTS,ON_STREET,AT_STREET,BETWEEN_STREET,STATION_ID,HUBABBR,HUBNAME,SBOARDS,STOPNAME_BSID
-11682516.3665,4825009.9007,7925185,10453,-104.94582,39.717737,3155896.1884128,1686790.57596407,active,46,1st Ave & Madison St,E,2002,2002/03/01 00:00:00+00,80,,0,A,Denver,,80206,0,Denver,F,East,,,SE,,,E 1st Ave,Madison St,,,,,0,1st Ave & Madison St (Stop No. 10453)
-11702167.1579,4868092.8362,7925186,23005,-105.122346,40.014791,3105788.22465608,1794747.94271783,active,JUMP,Arapahoe Rd & Yarrow St,W,2002,2002/03/01 00:00:00+00,35,,0,I,Lafayette,,80026,0,Boulder,F,North,,,NW,,.4 MI E OF 95THARAPAHOE MEADOWS DEVL,Arapahoe Rd,Yarrow St,,,,,0,Arapahoe Rd & Yarrow St (Stop No. 23005)
-11694497.7999,4844788.6675,7925187,16519,-105.053451,39.85427,3125374.35021596,1736358.82373596,active,51,Sheridan Blvd & Turnpike Dr,SE,2002,2002/03/01 00:00:00+00,70,,0,J,Westminster,ROW,80003,0,Jefferson,F,North,,,S,,,Sheridan Blvd,Turnpike Dr,,,,,0,Sheridan Blvd & Turnpike Dr (Stop No. 16519)
-11694462.2867,4844782.8675,7925188,16520,-105.053132,39.85423,3125463.9845044,1736344.69291008,active,51,Sheridan Blvd & Turnpike Dr,NW,2002,2002/03/01 00:00:00+00,97,,0,J,Westminster,,80031,0,Adams,N,North,,,NW,,,Sheridan Blvd,Turnpike Dr,,,,,0,Sheridan Blvd & Turnpike Dr (Stop No. 16520)
-11677788.6185,4821781.6401,7925189,33388,-104.90334993,39.69542657,3167896.63747,1678739.52448,active,"73, 83",S Quebec St & S Quebec Way Nearside,N,2009,2009/03/02 00:00:00+00,90,,0,A,Denver,,80231,0,Denver,N,East,,,SE,,,S Quebec St,E Mississippi Ave,,,,,0,S Quebec St & S Quebec Way Nearside (Stop No. 33388)
-11687255.4591,4803456.0132,7925190,24461,-104.988392,39.568642,3144226.24846626,1632412.33557919,active,0,S Broadway & Southpark Dr,N,2002,2002/03/01 00:00:00+00,100,,0,H,Littleton,,80122,0,Arapahoe,F,West,,,NE,,,S Broadway,Broadway Ct,,,,,0,S Broadway & Southpark Dr (Stop No. 24461)
-11678849.0572,4814579.0946,7925191,15552,-104.912876,39.645624,3165333.29286723,1660581.35328046,active,65,S Monaco Pkwy & Mansfield Ave,SE,2002,2002/03/01 00:00:00+00,25,,0,A,Denver,,80237,0,Denver,F,East,,,SW,,,S Monaco St,E Mansfield Av,,,,,0,S Monaco Pkwy & Mansfield Ave (Stop No. 15552)
-11678851.3955,4831340.2582,7925192,15554,-104.912897,39.761465,3165054.68061226,1702777.17304359,active,65,Monaco Pkwy & MLK Blvd,S,2002,2002/03/01 00:00:00+00,75,,0,B,Denver,,80207,0,Denver,F,East,,,SW,,,Monaco Pkwy W,Mlk Blvd,,,,,0,Monaco Pkwy & MLK Blvd (Stop No. 15554)
-11678858.5187,4820338.1015,7925193,15556,-104.912961,39.685448,3165215.6199942,1675087.16120379,active,65,S Monaco Pkwy & Mexico Ave,S,2002,2002/03/01 00:00:00+00,65,,0,A,Denver,,80224,0,Denver,F,East,,,SW,,,S Monaco St,E Mexico Av,,,,,0,S Monaco Pkwy & Mexico Ave (Stop No. 15556)
-11687537.2129,4825443.3481,7925194,12324,-104.990923,39.720732,3143202.30394906,1687807.28716438,active,52,Bannock St & W 3rd Ave,S,2002,2002/03/01 00:00:00+00,70,,0,C,Denver,,80223,0,Denver,F,West,,,SW,,,Bannock St,W 3rd Ave,,,,,0,Bannock St & W 3rd Ave (Stop No. 12324)
